"Image","Name","Physical AR / DR","Magical AR / DR","Fire AR / DR","Lightning AR / DR","Critical bonus / ?","Aux effects","Str req / scaling / scaling @ +15","Dex req / scaling / scaling @ +15","Int req / scaling / scaling @ +15","Fai req / scaling / scaling @ +15","Durability / Weight","Attack type(s)","Acquired from"
"","Dagger","56, 45","0, 10","0, 30","0, 30","131, 26","","5, E, E+15","8, B, A+15","0, -, -","0, -, -","200, 0.5","Slash, Thrust","Initial equipment for sorcerer., Undead Merchant, (male) sells the weapon for 300 Souls"
"","Ghost Blade","110, 45","0, 10","0, 30","0, 30","127, 26","","5, E, E+5","0, -, -","0, -, -","0, -, -","100, 0.5","Slash, Thrust, Combo","Rare drop from Female, Ghost, (Banshee) in, New Londo Ruins, ."
"","Bandit's Knife","56, 45","0, 10","0, 30","0, 30","147, 26","300","6, E, E+15","12, B, A+15","0, -, -","0, -, -","200, 1.0","Slash","Initial equipment for, Thief, ., Drop from, Undead Assassin, ."
"","Parrying Dagger","54, 45","0, 10","0, 30","0, 30","131, 26","","5, E, E+15","14, B, A+15","0, -, -","0, -, -","200, 0.5","Slash, Thrust","Treasure in, New Londo Ruins"
"","Priscilla's Dagger","80, 45","0, 10","0, 30","0, 30","100, 26","500, 110","6, -, -","20, A, S+5","0, -, -","0, -, -","100, 1.0","Slash, Combo","Obtained by cutting off, Crossbreed Priscilla, 's Tail."
"","Dark Silver Tracer","75, 45","0, 10","0, 30","0, 30","160, 26","","6, E, E+5","25, S, S+5","0, -, -","0, -, -","120, 1.0","Slash, Thrust","Can be obtained either by trading, Soul of Artorias, to, Lord's Blade Ciaran, , or by killing her., (AotA only)"
"","Straight Sword Hilt","20, 20","0, 5","0, 15","0, 15","100, 10","","6, E, E+15","6, E, E+15","0, -, -","0, -, -","200, 1.0","Regular","Starting equipment for all players in the Undead Asylum"
"","Broken Straight Sword","40, 20","0, 5","0, 15","0, 15","100, 16","","8, D, D+15","8, D, C+15","0, -, -","0, -, -","200, 2.0","Regular, Thrust","Drops from Infantry Hollow (Undead Burg) and Infested Ghouls (Multiple Locations)"
"","Broadsword","82, 50","0, 10","0, 35","0, 35","100, 32","","10, C, C+15","10, C, C+15","0, -, -","0, -, -","200, 3.0","Regular","Initial Equipment for Knight., Can be bought from, Andrei of Astora, for 1,000 souls."
"","Shortsword","78, 50","0, 10","0, 35","0, 35","100, 32","","8, C, C+15","10, C, C+15","0, -, -","0, -, -","200, 2.0","Regular, Thrust","Initial Equipment for Hunter., Sold by the male, Undead Merchant, for 600 souls, Drops from Armored Hollows."
"","Longsword","80, 50","0, 10","0, 35","0, 35","100, 32","","10, C, C+15","10, C, C+15","0, -, -","0, -, -","200, 3.0","Regular, Thrust","Starting equipment for, Warrior, Bought from, Andrei of Astora, for 1,000 souls, Drops from Undead Soldier (with Sword or Spear)"
"","Barbed Straight Sword","80, 50","0, 10","0, 35","0, 35","100, 32","300","10, D, D+15","10, D, C+15","0, -, -","0, -, -","160, 3.0","Thrust","Possible drop from NPC Phantom,, Knight Kirk"
"","Sunlight Straight Sword","82, 50","0, 10","0, 35","0, 35","100, 32","","12, C, C+15","12, C, C+15","0, -, -","0, -, -","240, 4.0","Regular, Thrust","Drops from, Solaire of Astora"
"","Balder Side Sword","80, 50","0, 10","0, 35","0, 35","100, 32","","10, E, E+15","14, B, A+15","0, -, -","0, -, -","120, 3.0","Regular, Thrust","Drops from Side Sword wielding Balder Knights (Undead Parish)"
"","Astora's Straight Sword","80, 50","80, 10","0, 35","0, 35","100, 32","120","10, C, C+5","10, C, C+5","0, -, -","14, C, C+5","160, 3.0","Regular, Thrust","Found in Valley of the Drakes, guarded by, Undead Dragon"
"","Silver Knight Straight Sword","175, 50","0, 10","0, 35","0, 35","100, 32","","16, E, E+5","22, C, C+5","0, -, -","0, -, -","300, 6.0","Regular","Possible drop from Silver Knights in Anor Londo"
"","Drake Sword","200, 50","0, 10","0, 35","0, 35","100, 32","","16, -, -","10, -, -","0, -, -","0, -, -","360, 6.0","Regular, Special","Reward for cutting off, The Bridge Wyvern, 's tail."
"","Darksword","82, 50","0, 10","0, 35","0, 35","100, 32","","16, C, C+15","16, C, C+15","0, -, -","0, -, -","200, 6.0","Regular","Obtained after reaching Rank 2 in the, Darkwraith, covenant."
"","Crystal Straight Sword","145, 50","0, 10","0, 35","0, 35","100, 32","","16, C","10, C","0, -","0, -","60, 6.0","Regular, Thrust","Drops from Undead Crystal Soldiers (Sword), Sold by, Domhnall of Zena, for 4,000 souls"
"","Bastard Sword","105, 60","0, 10","0, 40","0, 40","100, 38","","16, C, C+15","10, C, C+15","0, -, -","0, -, -","200, 6.0","Regular","Purchased from, Blacksmith Andrei, for 3,000 souls"
"","Black Knight Sword","220, 60","0, 10","0, 40","0, 40","100, 38","","20, C, C+5","18, E, E+5","0, -, -","0, -, -","300, 8.0","Regular, Thrust","Chance to drop from, Black Knights, wielding this weapon (various locations)"
"","Claymore","103, 60","0, 10","0, 40","0, 40","100, 38","","16, C, C+15","10, C, C+15","0, -, -","0, -, -","200, 6.0","Regular, Thrust","Looted from a body on the bridge guarded by, Hellkite Wyvern, in, Undead Burg"
"","Flamberge","100, 60","0, 10","0, 40","0, 40","100, 38","300","16, D, D+15","14, C, B+15","0, -, -","0, -, -","160, 6.0","Slash","Can be purchased from, Shiva of the East, for 10,000 souls, Dropped by, Snake-Headed Mage, in, Sen's Fortress"
"","Crystal Greatsword","180, 60","0, 10","0, 40","0, 40","100, 38","","20, C","10, C","0, -","0, -","60, 8.0","Regular","Can be purchased from, Domhnall of Zena, in the, Depths, and later on in, Firelink Shrine, for 6,000 souls"
"","Man-Serpent Greatsword","110, 60","0, 10","0, 40","0, 40","100, 38","","24, B, A+15","0, -, -","0, -, -","0, -, -","300, 10.0","Regular","Possible drop from Snake-Headed Soldier in, Sen's Fortress"
"","Great Lord Greatsword","231, 60","0, 10","0, 40","0, 40","100, 26","","20, D, D+5","10, D, D+5","0, -, -","0, -, -","400, 8.0","Regular","Ascension only (need, Soul of Gwyn, Lord of Cinder, ) from, Giant Blacksmith"
"","Moonlight Greatsword","0, 60","132, 10","0, 40","0, 40","100, 38","","16, -, -","10, -, -","28, A, S+5","0, -, -","300, 6.0","Regular, Special","Obtained by cutting off, Seath the Scaleless, ' Tail."
"","Greatsword of Artorias","120, 60","85, 10","0, 40","0, 40","100, 38","140","24, C, C+5","18, C, C+5","20, B, B+5","20, B, B+5","400, 10.0","Regular, Thrust","Ascension only (need soul of, Great Grey Wolf Sif, ) from, Giant Blacksmith"
"","Greatsword of Artorias (Cursed)","158, 60","0, 10","0, 40","0, 40","100, 38","","24, C, C+5","18, C, C+5","18, C, C+5","18, C, C+5","400, 10.0","Regular, Thrust","Ascension only (need soul of, Great Grey Wolf Sif, ) from, Giant Blacksmith"
"","Stone Greatsword","148, 60","100, 10","0, 40","0, 40","100, 38","","40, C, C+5","10, C, C+5","0, E, E+5","0, -, -","800, 18.0","Regular, Special","Drops from the, Stone Knights, in the, Darkroot Garden, Can be purchased from, Shiva of the East, for 15,000 souls"
"","Abyss Greatsword","160, 40","0, 50","0, 40","0, 40","100, 38","","22, C, C+5","18, C, C+5","18, -, -","18, -, -","300, 9.0","Regular","Ascension only (, Soul of Artorias, required), (AotA only)"
"","Obsidian Greatsword","320, 60","0, 10","0, 40","0, 40","100, 38","","20, -, -","16, -, -","0, -, -","0, -, -","350, 8.0","Regular, Special","Obtained by cutting off the tail of, Black Dragon Kalameet, ., (AotA only)"
